Gene_name	cluster_number
A1BG	16
A1CF	7
A2M	10
A2ML1	10
A3GALT2	16
A4GALT	48
A4GNT	48
AAAS	23
AACS	7
AADAC	29
AADACL2	29
AADACL3	5
AADACL4	5
AADAT	2
AAGAB	44
AAK1	7
AAMDC	9
AAMP	7
AANAT	16
AAR2	45
AARD	9
AARS1	7
AARS2	7
AARSD1	7
AASDH	2
AASDHPPT	5
AASS	45
AATF	37
AATK	7
ABAT	3
ABCA1	7
ABCA10	7
ABCA11P	27
ABCA12	7
ABCA13	7
ABCA2	7
ABCA3	7
ABCA4	7
ABCA5	7
ABCA6	7
ABCA7	7
ABCA8	7
ABCA9	7
ABCB1	7
ABCB10	7
ABCB11	7
ABCB4	7
ABCB5	7
ABCB6	7
ABCB7	7
ABCB8	7
ABCB9	7
ABCC1	7
ABCC10	7
ABCC11	7
ABCC12	7
ABCC2	7
ABCC3	7
ABCC4	7
ABCC5	7
ABCC6	7
ABCC8	7
ABCC9	7
ABCD1	7
ABCD2	7
ABCD3	7
ABCD4	7
ABCE1	7
ABCF1	7
ABCF2	7
ABCF3	7
ABCG1	7
ABCG2	7
ABCG4	7
ABCG5	7
ABCG8	7
ABHD1	3
ABHD10	1
ABHD11	3
ABHD12	7
ABHD12B	7
ABHD13	7
ABHD14A	1
ABHD14A-ACY1	3
ABHD14B	1
ABHD15	3
ABHD16A	10
ABHD16B	10
ABHD17A	7
ABHD17B	7
ABHD17C	7
ABHD18	51
ABHD2	3
ABHD3	3
ABHD4	2
ABHD5	2
ABHD6	49
ABHD8	21
ABI1	20
ABI3	34
ABITRAM	12
ABL1	7
ABL2	7
ABLIM1	20
ABLIM2	20
ABLIM3	20
ABO	16
ABR	57
ABRA	17
ABRACL	48
ABRAXAS1	1
ABRAXAS2	1
ABT1	15
ABTB1	59
ABTB2	7
ACAA1	3
ACAA2	3
ACACA	2
ACACB	2
ACAD10	29
ACAD11	29
ACAD8	29
ACAD9	2
ACADL	29
ACADM	29
ACADS	2
ACADSB	2
ACADVL	29
ACAN	35
ACAP1	7
ACAP2	7
ACAP3	7
ACAT1	3
ACAT2	3
ACBD3	19
ACBD4	26
ACBD5	26
ACBD6	7
ACBD7	26
ACCS	3
ACCSL	3
ACD	16
ACE	10
ACE2	10
ACER1	25
ACER2	25
ACER3	25
ACHE	11
ACIN1	46
ACKR1	16
ACKR2	4
ACKR3	4
ACKR4	4
ACLY	7
ACMSD	44
ACO1	2
ACO2	2
ACOD1	16
ACOT1	1
ACOT11	42
ACOT12	42
ACOT13	47
ACOT2	1
ACOT4	1
ACOT6	1
ACOT7	42
ACOT8	42
ACOT9	37
ACOX1	2
ACOX2	2
ACOXL	2
ACP1	45
ACP2	8
ACP3	8
ACP4	8
ACP5	55
ACP6	8
ACP7	29
ACR	22
ACRBP	16
ACRV1	16
ACSBG1	7
ACSBG2	7
ACSF2	7
ACSF3	7
ACSL1	7
ACSL3	7
ACSL4	7
ACSL5	7
ACSL6	7
ACSM1	7
ACSM2A	7
ACSM2B	7
ACSM3	7
ACSM4	7
ACSM5	7
ACSM6	7
ACSS1	7
ACSS2	7
ACSS3	7
ACTA1	7
ACTA2	7
ACTB	7
ACTBL2	7
ACTC1	7
ACTG1	7
ACTG2	7
ACTL10	7
ACTL6A	7
ACTL6B	7
ACTL7A	7
ACTL7B	7
ACTL8	7
ACTL9	7
ACTN1	27
ACTN2	7
ACTN3	7
ACTN4	15
ACTR10	7
ACTR1A	7
ACTR1B	7
ACTR2	7
ACTR3	7
ACTR3B	7
ACTR3C	7
ACTR5	7
ACTR6	7
ACTR8	7
ACTRT1	7
ACTRT2	7
ACTRT3	7
ACVR1	7
ACVR1B	3
ACVR1C	7
ACVR2A	7
ACVR2B	7
ACVRL1	7
ACY1	3
ACY3	1
ACYP1	56
ACYP2	1
ADA	3
ADA2	3
ADAD1	5
ADAD2	5
ADAL	3
ADAM10	43
ADAM11	43
ADAM12	43
ADAM15	43
ADAM17	43
ADAM18	43
ADAM19	43
ADAM2	43
ADAM20	43
ADAM21	43
ADAM22	43
ADAM23	43
ADAM28	43
ADAM29	43
ADAM30	43
ADAM32	43
ADAM33	43
ADAM7	43
ADAM8	43
ADAM9	43
ADAMDEC1	38
ADAMTS1	19
ADAMTS10	19
ADAMTS12	19
ADAMTS13	19
ADAMTS14	19
ADAMTS15	19
ADAMTS16	19
ADAMTS17	19
ADAMTS18	19
ADAMTS19	19
ADAMTS2	19
ADAMTS20	19
ADAMTS3	19
ADAMTS4	4
ADAMTS5	4
ADAMTS6	19
ADAMTS7	19
ADAMTS8	10
ADAMTS9	19
ADAMTSL1	19
ADAMTSL2	19
ADAMTSL3	19
ADAMTSL4	19
ADAMTSL5	4
ADAP1	7
ADAP2	7
ADAR	3
ADARB1	3
ADARB2	3
ADAT1	3
ADAT2	7
ADAT3	7
ADCK1	2
ADCK2	2
ADCK5	2
ADCY1	24
ADCY10	24
ADCY2	24
ADCY3	24
ADCY4	24
ADCY5	24
ADCY6	24
ADCY7	24
ADCY8	24
ADCY9	24
ADCYAP1	16
ADCYAP1R1	10
ADD1	11
ADD2	11
ADD3	11
ADGB	33
ADGRA1	10
ADGRA2	55
ADGRA3	55
ADGRB1	19
ADGRB2	19
ADGRB3	19
ADGRD1	10
ADGRD2	10
ADGRE1	19
ADGRE2	19
ADGRE3	10
ADGRE5	19
ADGRF1	10
ADGRF2	10
ADGRF3	10
ADGRF4	10
ADGRF5	10
ADGRG1	10
ADGRG2	13
ADGRG3	10
ADGRG4	13
ADGRG5	10
ADGRG6	13
ADGRG7	10
ADGRL1	10
ADGRL2	10
ADGRL3	13
ADGRL4	19
ADGRV1	17
ADH1A	3
ADH1B	3
ADH1C	3
ADH4	3
ADH5	3
ADH6	3
ADH7	3
ADHFE1	11
ADI1	37
ADIG	9
ADIPOQ	6
ADIPOR1	26
ADIPOR2	26
ADIRF	30
ADK	3
ADM	16
ADM2	16
ADM5	30
ADNP	16
ADNP2	16
ADO	14
ADORA1	4
ADORA2A	4
ADORA2B	4
ADORA3	4
ADPGK	13
ADPRH	1
ADPRHL1	1
ADPRM	48
ADPRS	1
ADRA1A	4
ADRA1B	4
ADRA1D	4
ADRA2A	4
ADRA2B	4
ADRA2C	4
ADRB1	4
ADRB2	4
ADRB3	4
ADRM1	29
ADSL	15
ADSS1	3
ADSS2	2
ADTRP	4
AEBP1	28
AEBP2	20
AEN	7
AFAP1	1
AFAP1L1	16
AFAP1L2	16
AFDN	32
AFF1	6
AFF2	6
AFF3	6
AFF4	4
AFG1L	2
AFG3L2	7
AFM	16
AFMID	5
AFP	16
AGA	5
AGAP1	7
AGAP11	7
AGAP2	7
AGAP3	7
AGAP4	7
AGAP5	7
AGAP6	7
AGAP9	7
AGBL1	56
AGBL2	56
AGBL3	56
AGBL4	56
AGBL5	56
AGER	6
AGFG1	7
AGFG2	41
AGGF1	39
AGK	2
AGL	43
AGMAT	47
AGMO	10
AGO1	23
AGO2	23
AGO3	23
AGO4	23
AGPAT1	26
AGPAT2	26
AGPAT3	57
AGPAT4	57
AGPAT5	57
AGPS	2
AGR2	1
AGR3	1
AGRN	24
AGRP	16
AGT	6
AGTPBP1	56
AGTR1	4
AGTR2	4
AGTRAP	6
AGXT	7
AGXT2	3
AHCTF1	32
AHCY	15
AHCYL1	15
AHCYL2	15
AHDC1	16
AHI1	7
AHNAK	1
AHNAK2	1
AHR	4
AHRR	4
AHSA1	26
AHSG	16
AHSP	30
AICDA	16
AIDA	58
AIF1	1
AIF1L	1
AIFM1	49
AIFM2	52
AIFM3	7
AIG1	4
AIM2	9
AIMP1	7
AIMP2	4
AIP	8
AIPL1	8
AIRE	26
AJAP1	16
AJM1	4
AJUBA	34
AK1	7
AK2	7
AK3	7
AK4	7
AK5	7
AK6	7
AK7	8
AK8	7
AK9	7
AKAIN1	16
AKAP1	13
AKAP10	10
AKAP11	16
AKAP12	16
AKAP13	20
AKAP14	4
AKAP17A	4
AKAP3	16
AKAP4	16
AKAP5	16
AKAP6	1
AKAP8	16
