Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
TTC26,0.713979902171125,0.073394495412844,0.589449541284404,0.479357798165138,0.127448513024785,0.906075287029701,0.160550458715596,45.3524247523587,5.6989617868316,3.05025599580359,1
IFT46,0.788990825688073,0.0458715596330275,0.469908643073447,0.479357798165138,0.0680313600832766,0.867180347879158,0.160550458715596,46.6356197867553,4.99189333863565,2.87989099323772,2
IFT52,0.71940027208998,0.0458715596330275,0.469908643073447,0.479357798165138,0,0.834178581327182,0.321100917431193,43.6835248233423,5.07289702648464,2.86981777171997,3
IFT22,0.774782843721188,0.0229357798165138,0.469908643073447,0.479357798165138,0.0680313600832766,0.869832275548513,0.160550458715596,45.9065746389028,4.7266319619415,2.84539915912367,4
IFT74,0.712992031664567,0,0.469908643073447,0.479357798165138,0,0.916682997707122,0.160550458715596,43.1003521692873,4.15021895797943,2.73949192932587,5
TRAF3IP1,0.312566544575241,0.055045871559633,0.589449541284404,0.479357798165138,0,0.954399302337952,0.321100917431193,30.5102519923123,4.98456395085005,2.71191997535356,6
IFT140,0.410711975135387,0.0786369593709043,0.589449541284404,0.479357798165138,0,0.819150991200835,0.321100917431193,33.1663663963793,5.22603330052391,2.69840818258786,7
IFT81,0.710432676028518,0,0.469908643073447,0.479357798165138,0,0.916388339077194,0.0802752293577982,42.7580473822779,3.89666996635455,2.65636268570209,8
BBS5,0.390641748660965,0.0611620795107034,0.589449541284404,0.479357798165138,0.127448513024785,0.914915045927552,0,33.4162637608478,4.66497085733206,2.56297472657355,9
TTC30B,0.56979247874607,-0.0458715596330275,0.469908643073447,0.479357798165138,0,0.749022237277886,0.321100917431193,36.759052363775,3.79508742848345,2.54331051506071,10
CLUAP1,0.538346002860388,0.0611620795107034,0.589449541284404,0.479357798165138,0,0.823276212019832,0,36.4968227914015,4.20159801978924,2.49159163384047,11
TTC30A,0.532380034045803,0,0.344038761137318,0.479357798165138,0,0.762281875624662,0.321100917431193,35.9421631622202,4.04786339216348,2.43915938640411,12
BBS7,0.445840074026725,0.0917431192660551,0.233823462337999,0.479357798165138,0.0656983039880169,0.781729345199934,0.321100917431193,34.6807321338596,5.05778396192542,2.41929302041506,13
IFT172,0.741265259561048,-0.0305810397553517,0.236085180735448,0.479357798165138,0,0.965596330275229,0,43.4483090783405,3.00669533615088,2.39172352898151,14
DYNC2LI1,0.24704691878682,0.0524246395806029,0.469908643073447,0.479357798165138,0.127448513024785,0.849206171453528,0.160550458715596,28.1603238154132,4.61688371674648,2.38594314279992,15
IFT57,0.648043591611427,0.055045871559633,0.125869881936129,0.479357798165138,0,0.914620387297623,0.160550458715596,41.114946692871,4.08210339725928,2.38348798928555,16
