Gene_name	Single_cell_score	Protein_interaction_score	Genetic_interaction_score	Motif_score	Phylogenetic_tree_score	Publication_score	Protein_atlas_score	Mean_score	Order
IFT22	0.457776205584579	0.457604750907291	0	0	0.51270207852194	0.852300095555249	0.161662817551963	2.44204594812102	1
TTC26	0.344564016873338	0.467092568709197	0	0	0.51270207852194	0.904938149456741	0.161662817551963	2.39095963111318	2
TTC30A	0.260461599726942	0.505773672055427	0	0	0.51270207852194	0.772115702565411	0.323325635103926	2.37437868797365	3
HSPB11	0.304830053854893	0.494040216903958	0	0	0.51270207852194	0.714841136144098	0.323325635103926	2.34973912052882	4
IFT52	0.277113903093435	0.420785977845785	0	0	0.51270207852194	0.810844218907442	0.323325635103926	2.34477181347253	5
IFT46	0.325500492861245	0.497227573142048	0	0	0.51270207852194	0.839481502118098	0.161662817551963	2.33657446419529	6
TRAF3IP1	0.40354639839709	0.159033898393846	0	0	0.51270207852194	0.926484295872378	0.323325635103926	2.32509230628918	7
IFT74	0.319900683796671	0.403466177138233	0	0	0.51270207852194	0.920756839230246	0.161662817551963	2.31848859623905	8
IFT81	0.351450384278726	0.475024329309919	0	0	0.51270207852194	0.876300866246085	0.0808314087759815	2.29630906713265	9
IFT172	0.341856544457607	0.458255682274158	0	0	0.51270207852194	0.967667436489607	0	2.28048174174331	10
IFT57	0.355195597950768	0.362158925669318	0	0	0.51270207852194	0.885301155255148	0.161662817551963	2.27702057494914	11
ROPN1L	0.544000674526116	0.140127770612759	0	0	0.51270207852194	0.749751348058041	0.323325635103926	2.26990750682278	12
TTC30B	0.292442090505749	0.346029800900895	0	0.0250742329264269	0.51270207852194	0.760115317219993	0.323325635103926	2.25968915517893	13
MNS1	0.479987345689253	0.104149018698672	0	0	0.51270207852194	0.813298843182641	0.323325635103926	2.23346292119643	14
BBS7	0.26205489402922	0.251762894534257	0.0718501411342058	0.0125371164632135	0.51270207852194	0.797207417378558	0.323325635103926	2.23144017716532	15
DNALI1	0.515709855741591	0.0283197856618962	0	0	0.51270207852194	0.845754430821385	0.323325635103926	2.22581178585074	16
ENKUR	0.536057834679992	0.0270422013463219	0	0.0752226987792808	0.51270207852194	0.743478419354755	0.323325635103926	2.21782886778621	17
IFT140	0.300730715209865	0.23787121554635	0	0	0.51270207852194	0.832117629292501	0.323325635103926	2.20674727367458	18
BBS2	0.281530751740457	0.277452985813263	0	0	0.51270207852194	0.760115317219993	0.323325635103926	2.15512676839958	19
BBS1	0.521217262886679	0.32555546707016	0	0	0.51270207852194	0.790934488675271	0	2.15040929715405	20
CC2D2A	0.384181417201604	0.21507983396377	0	0	0.51270207852194	0.690294893392107	0.323325635103926	2.12558385818335	21
NPHP4	0.254316214132841	0.24084460574068	0	0	0.51270207852194	0.783297879819096	0.323325635103926	2.11448641331848	22
PACRG	0.383152353038137	0.04757424310927	0	0	0.51270207852194	0.841117918301564	0.323325635103926	2.10787222807484	23
CFAP91	0.393280026361352	0.171267275193372	0	0	0.51270207852194	0.706113583165613	0.323325635103926	2.1066885983462	24
IFT43	0.348162979517802	0.279240122597889	0	0	0.51270207852194	0.591018978261832	0.323325635103926	2.05444979400339	25
CFAP45	0.458301359308371	0	0	0.0250742329264269	0.51270207852194	0.732023506070492	0.323325635103926	2.05142681193116	26
CCDC40	0.347471530685907	0.144506763444408	0	0	0.51270207852194	0.720023120725074	0.323325635103926	2.04802912848126	27
RSPH9	0.466251026693097	0	0	0	0.51270207852194	0.727114257520094	0.323325635103926	2.02939299783906	28
SPEF1	0.423557912376452	0	0	0.0125371164632135	0.51270207852194	0.746205779660531	0.323325635103926	2.01832852212606	29
HYDIN	0.527874640970337	0	0	0.0250742329264269	0.51270207852194	0.613383332769202	0.323325635103926	2.00235992029183	30
IQCG	0.491523251660924	0.0550501955978696	0	0.0250742329264269	0.51270207852194	0.578200384824681	0.323325635103926	1.98587577863577	31
CFAP53	0.534646224174412	0.0642252281975146	0	0.0125371164632135	0.51270207852194	0.535380828023985	0.323325635103926	1.98281711048499	32
SPEF2	0.462597693597023	0.0385351369185087	0	0	0.51270207852194	0.628656550481552	0.323325635103926	1.96581709462295	33
DYNC2LI1	0.324312081584374	0.107042046995858	0	0	0.51270207852194	0.859936704411424	0.161662817551963	1.96565572906556	34
BBS9	0.198853881679537	0.446784196156623	0	0	0.51270207852194	0.796116473256247	0	1.95445662961435	35
ODAD3	0.25809423605623	0.105095827959569	0	0.0376113493896404	0.51270207852194	0.710204623624278	0.323325635103926	1.94703375065558	36
CCDC39	0.426977076953371	0	0	0	0.51270207852194	0.674748939649179	0.323325635103926	1.93775373022842	37
B9D2	0.286584838506627	0.118309630890158	0	0	0.51270207852194	0.691385837514418	0.323325635103926	1.93230802053707	38
RSPH4A	0.472446848974912	0	0	0	0.51270207852194	0.622383621778265	0.323325635103926	1.93085818437904	39
BBS5	0.185836855249103	0.307164134857678	0	0	0.51270207852194	0.914211174496382	0	1.9199142431251	40
CFAP161	0.318906532992036	0.042816818798343	0	0.0125371164632135	0.51270207852194	0.669021483007048	0.323325635103926	1.87930966488651	41
RSPH3	0.358971687141568	0.0481689211481359	0	0	0.51270207852194	0.629202022542707	0.323325635103926	1.87237034445828	42
WDR35	0.272426594596943	0.172914075916385	0	0.0250742329264269	0.51270207852194	0.886664835408037	0	1.86978181736973	43
SPATA17	0.379648507547742	0	0	0.0125371164632135	0.51270207852194	0.640656935826969	0.323325635103926	1.86887027346379	44
DNAI7	0.371798312668474	0.0481689211481359	0	0	0.51270207852194	0.608746820249381	0.323325635103926	1.86474176769186	45
TMEM231	0.448940735123158	0.115605410755526	0	0.0250742329264269	0.25635103926097	0.690840365453263	0.323325635103926	1.86013741862327	46
TEKT1	0.522228084874046	0.068812744497337	0	0.0125371164632135	0.25635103926097	0.662203082242606	0.323325635103926	1.8454577024421	47
CCDC113	0.501015332262437	0.0467092568709197	0	0.0125371164632135	0.51270207852194	0.731478034009337	0	1.80444181812785	48
LCA5	0.322668253263399	0.25795378538346	0	0	0.25635103926097	0.630292966665018	0.323325635103926	1.79059167967677	49
SPAG17	0.531226683575875	0.0256900912790058	0	0.0250742329264269	0.25635103926097	0.623747301931153	0.323325635103926	1.78541498407736	50
CFAP300	0.429834853928772	0	0	0	0.51270207852194	0.511380057333149	0.323325635103926	1.77724262488779	51
BBOF1	0.521397224970855	0	0	0	0.51270207852194	0.580927745130458	0.161662817551963	1.77668986617522	52
CLUAP1	0.330460776699539	0.098591359075132	0	0	0.51270207852194	0.829390268986724	0	1.77114448328333	53
CFAP100	0.37256619528801	0.0247020108451979	0	0.0125371164632135	0.51270207852194	0.522016762525679	0.323325635103926	1.76784979874797	54
GAS8	0.271316898959125	0.0384253502036412	0	0	0.51270207852194	0.621292677655954	0.323325635103926	1.76706264044459	55
CEP290	0.238613372226613	0.274741253956035	0	0	0.51270207852194	0.656748361631053	0.0808314087759815	1.76363647511162	56
DYNLT2B	0.499805396093228	0.0745841359713072	0	0	0.51270207852194	0.675021675679757	0	1.76211328626623	57
SPA17	0.448452786975239	0.0811266040389658	0	0	0.25635103926097	0.651020904988921	0.323325635103926	1.76027697036802	58
CCDC146	0.548150174485229	0.0576380253054618	0	0	0.51270207852194	0.63820231155177	0	1.7566925898644	59
LZTFL1	0.343572334375848	0.204009548392105	0	0	0.51270207852194	0.69465866988135	0	1.75494263117124	60
RPGRIP1	0.37031180941591	0.136235332540182	0	0	0.51270207852194	0.405285741438432	0.323325635103926	1.74786059702039	61
TEKT2	0.450586958932922	0.0291932855443248	0	0	0.25635103926097	0.681294604383044	0.323325635103926	1.74075152322519	62
CFAP58	0.221016962362096	0.0367001303985798	0	0.0376113493896404	0.51270207852194	0.609019556279959	0.323325635103926	1.74037571205614	63
CFAP251	0.509735970713925	0	0	0	0.51270207852194	0.708568207440812	0	1.73100625667668	64
DYDC2	0.446983628262183	0.0256900912790058	0	0	0.25635103926097	0.67120337125167	0.323325635103926	1.72355376515775	65
IFT20	0.202666112401287	0.24207970628294	0	0	0.51270207852194	0.758751637067105	0	1.71619953427327	66
RSPH1	0.649031007652652	0	0	0	0.025635103926097	0.713750192021788	0.323325635103926	1.71174193870446	67
ZMYND10	0.5681176660203	0.0256900912790058	0	0.0125371164632135	0.51270207852194	0.591291714292409	0	1.71033866657687	68
CFAP126	0.521924956525038	0	0	0.0376113493896404	0.25635103926097	0.561290750928865	0.323325635103926	1.70050373120844	69
EFHC2	0.279881479989016	0.0401407676234466	0	0	0.51270207852194	0.541926492757849	0.323325635103926	1.69797645399618	70
IFT88	0.392666338682645	0.281824135672676	0.0239500470447353	0	0.025635103926097	0.965758284275564	0	1.68983390960172	71
TTC21B	0.214334337845527	0.228356366924496	0	0	0.51270207852194	0.727114257520094	0	1.68250704081206	72
IFT80	0.30723802809508	0.419934184368364	0.0239500470447353	0	0.025635103926097	0.904119941365008	0	1.68087730479928	73
SPATA18	0.549352556422372	0.152917209994082	0	0	0.25635103926097	0.397103660521102	0.323325635103926	1.67905010130245	74
CFAP74	0.324091989409934	0	0	0	0.51270207852194	0.513561945577771	0.323325635103926	1.67368164861357	75
TMEM67	0.395635765897164	0.0230552101221847	0	0.0250742329264269	0.51270207852194	0.716477552327564	0	1.67294483979528	76
TTC29	0.337382228467626	0	0	0	0.51270207852194	0.496925047712532	0.323325635103926	1.67033498980602	77
SPAG6	0.527635009575309	0	0	0	0.025635103926097	0.771570230504256	0.323325635103926	1.64816597910959	78
DZIP1L	0.283299698174446	0.0342534550386744	0	0	0.51270207852194	0.49010664694809	0.323325635103926	1.64368751378708	79
CCDC13	0.197599698512857	0.168591224018476	0	0.0250742329264269	0.51270207852194	0.409922253958252	0.323325635103926	1.63721512304188	80
TTC21A	0.315596900555109	0.171267275193372	0	0	0.51270207852194	0.550381309705757	0.0808314087759815	1.63077897275216	81
CFAP54	0.345242685779605	0	0	0.0501484658528538	0.51270207852194	0.397376396551679	0.323325635103926	1.62879526181	82
DRC1	0.433098290631131	0	0	0	0.51270207852194	0.68293102056651	0	1.62873138971958	83
TEX9	0.365357045443912	0.183500651992899	0	0.0125371164632135	0.51270207852194	0.553926878103267	0	1.62802377052523	84
RPGRIP1L	0.314047373290925	0.124738015458757	0	0	0.51270207852194	0.675567147740913	0	1.62705461501253	85
CCDC65	0.325057203104898	0.0481689211481359	0	0	0.51270207852194	0.733932658284536	0	1.61986086105951	86
ENKD1	0.295436273331881	0.0272470665080365	0	0.0376113493896404	0.51270207852194	0.579836801008147	0.161662817551963	1.61449638631161	87
CABCOCO1	0.417319996798176	0.0642252281975146	0	0.0125371164632135	0.25635103926097	0.540562812604961	0.323325635103926	1.61432182842876	88
C4orf47	0.392442638891863	0	0	0	0.51270207852194	0.378557610441819	0.323325635103926	1.60702796295955	89
C5orf49	0.605999511904026	0	0	0	0.25635103926097	0.419740751059049	0.323325635103926	1.60541693732797	90
DRC3	0.53192942573121	0	0	0	0.025635103926097	0.723568689122584	0.323325635103926	1.60445885388382	91
RIBC2	0.27332793862412	0.0248613786571024	0	0	0.51270207852194	0.458196531370502	0.323325635103926	1.59241356227759	92
TTC8	0.233345895200969	0.392907278384795	0.0718501411342058	0.0250742329264269	0.025635103926097	0.841663390362719	0	1.59047604193521	93
ODAD1	0.396687052622429	0	0	0	0.51270207852194	0.677476299954956	0	1.58686543109933	94
B9D1	0.422538636067665	0.187323582242751	0	0	0.25635103926097	0.71702302438872	0	1.58323628196011	95
C9orf116	0.568689311829567	0.0642252281975146	0	0	0.25635103926097	0.367102697157557	0.323325635103926	1.57969391154953	96
NME5	0.446661491809113	0.0856336375966861	0	0	0.025635103926097	0.697386030187127	0.323325635103926	1.57864189862295	97
DLEC1	0.357782288512668	0	0	0	0.51270207852194	0.383466858992218	0.323325635103926	1.57727686113075	98
CCDC96	0.294461101401469	0	0	0	0.51270207852194	0.446196146025084	0.323325635103926	1.57668496105242	99
CFAP52	0.47763618390793	0.0395232173523167	0	0	0.025635103926097	0.708295471410234	0.323325635103926	1.5744156117005	100
DNAI2	0.415772587563816	0.042816818798343	0	0	0.025635103926097	0.760933525311726	0.323325635103926	1.56848367070391	101
DNAI3	0.370182678747649	0	0	0	0.51270207852194	0.683203756597088	0	1.56608851386668	102
ERICH3	0.580346573497403	0	0	0	0.25635103926097	0.402831117163233	0.323325635103926	1.56285436502553	103
CCDC170	0.618039267832143	0	0	0	0.25635103926097	0.362193448607159	0.323325635103926	1.5599093908042	104
CEP131	0.138872515388406	0.213358385198523	0	0	0.51270207852194	0.532653467718208	0.161662817551963	1.55924926437904	105
C20orf85	0.647600245394302	0.0291932855443248	0	0.0376113493896404	0.25635103926097	0.264281213629772	0.323325635103926	1.55836276832294	106
CFAP43	0.574608563873541	0	0	0	0.51270207852194	0.468560500532454	0	1.55587114292793	107
IQUB	0.30371092901903	0.0112394149345651	0	0	0.51270207852194	0.724114161183739	0	1.55176658365927	108
TPPP3	0.453740359946006	0	0	0	0.51270207852194	0.423559055487137	0.161662817551963	1.55166431150705	109
CFAP157	0.539979617636932	0	0	0	0.25635103926097	0.426559151823491	0.323325635103926	1.54621544382532	110
UBXN11	0.354490637514036	0.0154140547674035	0	0	0.51270207852194	0.334919845549391	0.323325635103926	1.5408522514567	111
C1orf194	0.641344137129631	0	0	0.0250742329264269	0.25635103926097	0.292100288748695	0.323325635103926	1.53819533316965	112
IFT27	0.413493055788335	0.289013526888816	0	0	0.025635103926097	0.803480346081844	0	1.53162203268509	113
CFAP70	0.452029107463877	0	0	0	0.025635103926097	0.729296145764715	0.323325635103926	1.53028599225862	114
MKS1	0.159872965284224	0.103350941927035	0	0	0.51270207852194	0.751387764241507	0	1.52731374997471	115
ODF2	0.242473349520232	0.190549021407196	0	0	0.25635103926097	0.503743448476974	0.323325635103926	1.5164424937693	116
