Gene_name	Comment	Keyword
AAAS	Mainly localized to the nuclear membrane. In addition localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
ABCA13	Mainly localized to vesicles. In addition localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
ABCG1	Several of the normal tissues displayed moderate cytoplasmic staining often combined with membranous positivity. Strong cytoplasmic staining was observed in Purkinje cells and seminiferous duct cells. Cilia in for example fallopian tube and respiratory epithelia were distinctly stained. Pancreas, urothelium, cells in CNS, lymphoid tissues and prostate were generally negative.	Cilia
ABHD5	Cilia in respiratory epithelium and fallopian tubes displayed strong positivity. Renal tubules, pancreatic ducts and sebaceous glands in skin showed strong cytoplasmic and membranous positivity. Gastrointestinal tract and adrenal cortex displayed weak to moderate cytoplasmic immunoreactivity. Remaining normal tissues were negative.	Cilia
ABL1	Normal tissues showed moderate cytoplasmic and nuclear staining. Intestinal tract, myocytes and exocrine pancreas were strongly stained. Cilia of fallopian tube showed strong positivity. Bile duct cells, islet cells and most cells in CNS were weakly stained or negative.	Cilia
AC008695.1	Mainly localized to the cytosol. In addition localized to the centrosome.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome	Centrosome
AC092143.1	Ciliated cells in respiratory epithelium and fallopian tubes showed moderate cytoplasmic positivity. Epididymis and parts of gastrointestinal tract, neuropil, neuronal cells in hippocampus and cells in seminiferous ducts showed weak to moderate staining. Other normal tissues were mainly negative.	Cilia
AC134669.1	Cilia in respiratory epithelium and fallopian tube displayed strong positivity. Exocrine pancreas, fraction of cells in seminiferus ducts, endothelial cells and peripheral nerves displayed strong cytoplasmic positivity. Other normal tissues were in general weakly stained or negative.	Cilia
AC134980.5	Localized to the centrosome.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome	Centrosome
AC135068.3	Localized to the centrosome.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome	Centrosome
AC171558.1	Localized to the centrosome.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome	Centrosome
AC240274.1	Smooth muscle cells and mature spermatids in seminiferus ducts showed strong cytoplasmic positivity. Follicle cells, heart and skeletal myocytes were moderately stained. Cilia in respiratory epithelia displayed moderate positivity. Urothelium and cells in epididymis exhibited weak nuclear immunoreactivity. Other normal tissues were in general negative.	Cilia
ACAA1	Most normal tissues displayed weak to moderate cytoplasmic positivity, often with a granular pattern. Strong immunoreactivity was observed in hepatocytes and exocrine pancreas as well as in cilia of fallopian tube and airway epithelia. Squamous epithelia and lymphoid tissues were in general negative.	Cilia
ACADM	Normal tissues generally displayed strong cytoplasmic staining with a granular pattern. Ciliated cells displayed additional positivity of luminal membranes. Squamous epithelia and cells of the CNS were weaker stained.	Cilia
ACADS	centrosome	Centrosome
ACKR2	Cytoplasmic expression mainly in placenta and ciliated cells.,Surface epithelial cells in respiratory tract, ciliated cells in fallopian tubes, subset of cells in seminiferous ducts and trophoblastic cells in placenta showed moderate to strong cytoplasmic and membranous positivity. Remaining normal tissues were generally negative.	Cilia
ACTA2	Strong cytoplasmic positivity was observed in smooth muscle and stomach. Distinct staining of luminal membranes and cilium was observed in epididymis, the intesteine, renal tubules, exocrine pancreas and trophoblastic cells. Lymphoid cells in reaction centra showed mocerate to strong cytoplasmic staining. Remaining normal tissues were mainly negative.	Cilium
ACTR8	Mainly localized to the nucleoplasm. In addition localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
ADAMTS13	Cilia of bronchus and fallopian tube displayed moderate staining. Moderate cytoplasmic positivity, in a several cases accompanied by nuclear stained, was observed in gastrointestinal tract, hepatocytes, gall bladder, kidney, placental trophoblasts and heart muscle. Leydig cells were strongly stained. Remaining normal tissues were in general weakly stained or negative.	Cilia
ADAMTS5	A majority of the normal tissues showed moderate cytoplasmic immunoreactivity. Ciliated cells e.g. respiratory epithelia and fallopian tube exhibited strong cytoplasmic and membranous positivity while cardiac myocytes displayed strong cytoplasmic staining. Lung, liver, islet cells, Leydig cells, glial cells, transitional and squamous epithelium was weakly stained or negative.	Cilia
ADAMTSL3	A majority of normal tissues showed weak to moderate cytoplasmic positivity. Cilia in respiratory epithelium and luminal membrane in small intestine were distinctly stained. Fraction of endometrial glands, Purkinje cells and renal glomeruli displayed strong cytoplasmic immunoreactivity. The lung, liver, pancreas, neuronal cells, and spleen were negative.	Cilia
ADCK2	Localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
ADCY1	Most normal tissues showed moderate nuclear positivity occasionally combined with cytoplasmic staining. Ciliated cells e.g. in epididymis and fallopian tube, showed additional membranous staining. Respiratory epithelium, gall bladder, urothelium, trophoblastic cells and prostate glands expressed strong positivity.	Cilia
ADCY10	Cytoplasmic and membranous expression in selected tissues, expression in cilia.	Cilia
ADCY5	Most normal cells displayed weak cytoplasmic staining or were negative. The urinary bladder showed strong membranous staining while cilia were strongly stained in fallopian tube and airway epithelia. Seminal vesicle and placenta displayed moderate cytoplasmic staining.	Cilia
ADGB	Expression in cilia in fallopian tube, endometrium and respiratory epithelium.,Cilia in respiratory epithelia, fallopian tube and uterus distinctly stained. Cells in glomeruli showed strong membranous positivity. Remaining normal tissues along with stroma were negative.	Cilia
ADGRB2	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
ADPGK	Localized to the centrosome.,centrosome,centrosome	Centrosome
AFG1L	A majority of normal cells displayed weak to moderate cytoplasmic positivity with additional nuclear staining in a few cases. The gall bladder, ciliated cells in respiratory epithelium and fallopian tube showed strong positivity. Appendix, endometrium, cervix, prostate and spleen were negative.	Cilia
AFG3L2	Most normal tissues showed moderate cytoplasmic positivity. Cilia of respiratory epithelium and in fallopian tube were distinctly stained.	Cilia
AGBL4	Cytoplasmic expression in several tissues including CNS, cilia in fallopian tube and respiratory tract.,Most normal tissues showed weak to moderate cytoplasmic positivity. Ciliated cells and the parathyroid gland displayed strong membranous and cytoplasmic staining while neuronal cells showed strong cytoplasmic immunoreactivity. The liver, squamous epithelia and lymphoid tissues were generally negative.	Cilia
AGPAT2	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
AGR2	Strong cytoplasmic staining was found in ciliated cells, urothelium and most glandular cells e.g. the gastrointestinal tract, male and female genitalia. Remaining normal cells were negative.	Cilia
AHI1	Localized to the centrosome.,centrosome,centrosome	Centrosome
AK6	Mainly localized to the nuclear speckles. In addition localized to the cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
AK7	Distinct expression in ciliated cells, accompanied with cytoplasmic expression in several tissues.,Cilia in respiratory tract and fallopian tube were distinctly stained. Most remaining normal cells were weakly stained or negative.	Cilia
AK8	Expression in cilia in epithelial cells and flagella in sperm.,Strong positivity was observed in cilia in fallopian tube, respiratory epithelial cells and endometrium. Remaining normal tissues were weakly stained or negative.,Strong cilia positivity was observed in fallopian tube, respiratory epithelial cells and glandular cells of endometrium. Additional positivity was observed in spermatids and Langerhans cells. Remaining normal tissues were mainly negative.<br>Expression in cilia in epithelial cells and flagella in sperm.<br>Expression in cilia in epithelial cells and flagella in sperm.,Strong positivity was observed in cilia in fallopian tube, respiratory epithelial cells and endometrium. Remaining normal tissues were weakly stained or negative.,Strong cilia positivity was observed in fallopian tube, respiratory epithelial cells and glandular cells of endometrium. Additional positivity was observed in spermatids and Langerhans cells. Remaining normal tissues were mainly negative.<br>Expression in cilia in epithelial cells and flagella in sperm.	Cilia<br>Cilia<br>Flagella<br>Flagella
AK9	Strong cytoplasmic staining was observed in lymphoid cells, epididymis, cilia of respiratory epithelium and fallopian tube. The intestine, adrenal cortex, renal tubules, decidual cells, smooth muscle cells and neuronal cells of CNS displayed moderate cytoplasmic immunoreactivity. Remaining normal tissues were weakly stained or negative.,Most normal tissues displayed moderate to strong cytoplasmic positivity. Ciliated cells of respiratory epithelia and fallopian tube were strongly stained. Alveolar macrophages, salivary gland, liver, adipocytes, hematopoietic cells, heart myocytes, germinal and non germinal center cells were generally negative.	Cilia
AKAP14	Ciliary expression in fallopian tube and respiratory epithelium, and cytoplasmic and membranous expression in spermatids in testis.	Cilia
AKAP9	Mainly localized to the Golgi apparatus. In addition localized to the centrosome & vesicles.,centrosome,centrosome,centrosome	Centrosome
AKNA	Mainly localized to the nucleoplasm & centrosome.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
ALDH3B1	Expression in several tissues, including ciliated cells of respiratory epithelia and fallopian tube.,Most of the normal tissues displayed weak to moderate cytoplasmic and membranous positivity. Cilia in the respiratory tract and fallopian tubes were strongly stained. Cells in CNS and seminiferous ducts showed nuclear staining. Strong luminal membranous staining was observed in renal tubules. Several tissues showed distinct staining of basal membrane. Squamous epithelia and lymphoid tissues were generally negative.	Cilia
ALDH8A1	Mainly localized to the centrosome.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
ALMS1	Mainly localized to the cytosol & centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
ALPK1	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
ALPPL2	Trophoblastic cells showed strong cytoplasmic positivity while cells in the intestine displayed strong luminal staining. Fallopian tubes displayed moderate staining in ciliated cells. Remaining normal cells were weakly stained or negative.	Cilia
AMMECR1	Glandular cells in stomach, hepatocytes, renal tubules, Purkinje cells and smooth muscle cells showed strong cytoplasmic positivity with occasional nuclear staining. Cilia in fallopian tubes showed strong immunoreactivity. Molecular layer in cerebellum, exocrine pancreas, bile ducts, thyroid, adrenal glands, small intestine and Leydig cells showed weak to moderate cytoplasmic positivity. Remaining normal tissues were negative.	Cilia
AMN1	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
AMOTL2	centrosome,centrosome	Centrosome
ANK1	Red blood cells and subsets of cells in bone marrow showed strong immunoreactivity. The intestine, salivary gland, exocrine pancreas, seminiferus duct cells, seminal vesicle, ciliated cells and skeletal muscle showed moderate membranous staining. Membranes of purkinje cells showed moderate poitivity. Remaining normal cells were in general weakly stained or negative.	Cilia
ANKFY1	Gastric parietal cells, parts of the intestine, renal tubules and ciliated cells showed strong staining in luminal membranes while squamous epithelium in esophagus and placental syncytiotrophoblasts showed moderate membranous immunoreactivity. Virtually no staining in remaining tissues.	Cilia
ANKRD13B	Strong cytoplasmic positivity was observed in hepatocytes, cervical glands ciliated cells in uterus and respiratory epithelia. Adrenal gland, neuronal cells, epididymis, subset of cells in seminiferous ducts and urothelium showed moderate nuclear staining. Gastrointestinal tract, exocrine pancreas, epidermal cells, keratinocytes, skeletal and cardiac myocytes showed moderate cytoplasmic and/or nuclear staining with occasional membranous immunoreactivity. Remaining normal tissues were weakly stained or negative.	Cilia
ANKRD35	Strong membranous positivity was observed in ciliated cells and a subset of endometrial glands. Superficial layers in squamous epithelia showed strong to moderate cytoplasmic and membranous positivity. Remaining normal tissues were generally weakly stained or negative.	Cilia
ANKRD42	High expression mainly in ciliated cells.,Ciliated cells displayed strong immunoreactivity i cilia while the prostate showed distinct membranous and cytoplasmic positivity. Hepatocytes, adrenal cortex and fraction of neuronal cells were moderately stained. Remaining normal cells were weakly stained or negative.	Cilia
