Gene_name,row_names,Publication,Gene_ID,Pub_number
1700001L19Rik,1,Ostrowski et al.,AK005609,20
2AAA,2,David U. Mick et al.,2AAA,26
3,3,Ostrowski et al.,P03681,20
40787.0,4,Karsten Boldt et al.,40787.0,16
43167.0,5,Blacque et al._xbox,D2089.2,54
A0A0G2JS52,7,Blacque et al._xbox,F52F12.6,54
A0A1W2PQL4,8,Blacque et al._xbox,C10A4.8,54
A1CF,9,Semil P. Choksi et al.,A1CF,23
A1CF,10,Roosing et al.,A1CF,57
A2M-AS1,12,Alexander E. Ivliev et al,A2M-AS1,8
A2ML1,13,Alexander E. Ivliev et al,A2ML1,8
A2ML1,14,Ross et al.,A2ML1,22
A4GNT,17,Li et al.,A4GNT,18
A4GNT,18,McClintock et al.,A4GNT,29
AAAS,19,Nogales-Cadenas R. et al.,ENSG00000094914,46
AAAS,20,Arnaiz O. et al.,GSPATT00039381001,53
AACS,21,Phirke et al.,AACS,3
AACS,22,Monika-Abedin-Sigg et al.,AACS,30
AACS,23,Broadhead et al.,AACS,32
AACS,24,Nogales-Cadenas R. et al.,ENSG00000081760,46
AADAC,25,Blacque et al._xbox,F16F9.4,54
AADACL4,26,Laurençon et al.,AADACL4,7
AADACP1,27,Alexander E. Ivliev et al,AADACP1,8
AADACP1,28,Ross et al.,AADACP1,22
AADAT,29,Li et al.,AADAT,18
AADAT,30,Gabrielle Wheway,AADAT,27
AADAT,31,McClintock et al.,AADAT,29
AAGAB,33,Marshall et al.,Aagab,55
AAK1,34,Karsten Boldt et al.,AAK1,16
AAK1,35,Liu et al.,AAK1,28
AAKB2,36,David U. Mick et al.,AAKB2,26
AAMDC,37,Alexander E. Ivliev et al,AAMDC,8
AAMP,38,Karsten Boldt et al.,AAMP,16
AAMP,39,Gabrielle Wheway,AAMP,27
AAPK1,40,David U. Mick et al.,AAPK1,26
AAR2,41,Laurençon et al.,AAR2,7
AAR2,42,Karsten Boldt et al.,AAR2,16
AARD,43,Marshall et al.,Aard,55
AARS1,44,Karsten Boldt et al.,AARS,16
AARS1,45,Liu et al.,AARS,28
AARS1,46,McClintock et al.,AARS,29
AARS1,47,Monika-Abedin-Sigg et al.,AARS,30
AARS1,48,Blacque et al._xbox,F28H1.3,54
AARS2,49,Lauwaet T. et al.,GL50803_96460-t26_1,40
AARSD1,50,Liu et al.,AARSD1,28
AARSD1,51,Marshall et al.,Aarsd1,55
AASDH,52,Lambacher N. et al.,AASDH,17
AASDH,53,Gabrielle Wheway,AASDH,27
AASDH,54,McClintock et al.,AASDH,29
AASDH,55,Roosing et al.,AASDH,57
AASDHPPT,56,Marshall et al.,Aasdhppt,55
AASDHPPT,57,Blacque et al._xbox,T28H10.1,54
AASS,58,Monika-Abedin-Sigg et al.,AASS,30
AATF,59,Jakobsen L. et al.,AATF,43
AATM,60,David U. Mick et al.,AATM,26
ABAT,61,Bechstedt et al.,ABAT,5
ABAT,62,Alexander E. Ivliev et al,ABAT,8
ABAT,63,Monika-Abedin-Sigg et al.,ABAT,30
ABCA1,64,Ross et al.,ABCA1,22
ABCA1,65,Monika-Abedin-Sigg et al.,ABCA1,30
ABCA12,66,Ross et al.,ABCA12,22
ABCA12,67,Monika-Abedin-Sigg et al.,ABCA12,30
ABCA13,68,Phirke et al.,ABCA13,3
