Publication|Gene_name|Gene_ID|Pub_number
Kilburn et al.|MYH15|MYH15|1
Kilburn et al.|CLEC4F|CLEC4F|1
Kilburn et al.|HSD17B10|HSD17B10|1
Kilburn et al.|HERC2|HERC2|1
Kilburn et al.|MDH1|MDH1|1
Kilburn et al.|ACO1|ACO1|1
Kilburn et al.|IVD|IVD|1
Kilburn et al.|DLD|DLD|1
Kilburn et al.|NEK4|NEK4|1
Kilburn et al.|NRDC|NRDC|1
Kilburn et al.|SDHA|SDHA|1
Kilburn et al.|RSPH10B2|RSPH10B2|1
Kilburn et al.|MROH5|MROH5|1
Kilburn et al.|ECHS1|ECHS1|1
Kilburn et al.|OR13G1|OR13G1|1
Kilburn et al.|CAPSL|CAPSL|1
Kilburn et al.|SUCLG1|SUCLG1|1
Kilburn et al.|HPCAL1|HPCAL1|1
Kilburn et al.|SURF1|SURF1|1
Kilburn et al.|RPL37A|RPL37A|1
Kilburn et al.|SUCLA2|SUCLA2|1
Kilburn et al.|TRAP1|TRAP1|1
Kilburn et al.|RPL32|RPL32|1
Kilburn et al.|MCCC2|MCCC2|1
Kilburn et al.|CYP3A4|CYP3A4|1
Kilburn et al.|AGXT|AGXT|1
Kilburn et al.|HSPA8|HSPA8|1
Kilburn et al.|PSMA6|PSMA6|1
Kilburn et al.|TKT|TKT|1
Kilburn et al.|SLC25A41|SLC25A41|1
Kilburn et al.|MTERF1|MTERF1|1
Kilburn et al.|CCDC102B|CCDC102B|1
Kilburn et al.|ATP5C1|ATP5C1|1
Kilburn et al.|PPIA|PPIA|1
Kilburn et al.|MRE11A|MRE11A|1
Kilburn et al.|MPRIP|MPRIP|1
Kilburn et al.|CCDC30|CCDC30|1
Kilburn et al.|BBS2|BBS2|1
Kilburn et al.|OBSCN|OBSCN|1
Kilburn et al.|MSH6|MSH6|1
Kilburn et al.|DCTN5|DCTN5|1
Kilburn et al.|GCDH|GCDH|1
Kilburn et al.|ABCA3|ABCA3|1
Kilburn et al.|TEKT2|TEKT2|1
Kilburn et al.|EFHC1|EFHC1|1
Kilburn et al.|ABHD11|ABHD11|1
Kilburn et al.|PROM1|PROM1|1
Kilburn et al.|OXCT1|OXCT1|1
Kilburn et al.|RPS4Y1|RPS4Y1|1
Kilburn et al.|EML4|EML4|1
Kilburn et al.|MECR|MECR|1
Kilburn et al.|TUFM|TUFM|1
Kilburn et al.|PSD4|PSD4|1
Kilburn et al.|CFAP161|CFAP161|1
Kilburn et al.|PSMA1|PSMA1|1
Kilburn et al.|YWHAE|YWHAE|1
Kilburn et al.|SPEF1|SPEF1|1
Kilburn et al.|HSPA5|HSPA5|1
Kilburn et al.|ACSL5|ACSL5|1
Kilburn et al.|ULK3|ULK3|1
Kilburn et al.|CAPN15|CAPN15|1
Kilburn et al.|ACTG1|ACTG1|1
Kilburn et al.|OGDHL|OGDHL|1
Kilburn et al.|RPS2|RPS2|1
Kilburn et al.|EFCAB6|EFCAB6|1
Kilburn et al.|NDUFV1|NDUFV1|1
Kilburn et al.|NDUFS1|NDUFS1|1
Kilburn et al.|ITPR1|ITPR1|1
Kilburn et al.|TARS|TARS|1
Kilburn et al.|SCP2|SCP2|1
Kilburn et al.|CFAP43|CFAP43|1
Kilburn et al.|HSPD1|HSPD1|1
Kilburn et al.|NOD1|NOD1|1
Kilburn et al.|WDR90|WDR90|1
Kilburn et al.|KCNA5|KCNA5|1
Kilburn et al.|QDPR|QDPR|1
Kilburn et al.|PPP4R4|PPP4R4|1
Kilburn et al.|YY1|YY1|1
Kilburn et al.|SDHB|SDHB|1
Kilburn et al.|TXN2|TXN2|1
Kilburn et al.|VPS13A|VPS13A|1
Kilburn et al.|SSRP1|SSRP1|1
Kilburn et al.|LAP3|LAP3|1
Kilburn et al.|RPS15|RPS15|1
Kilburn et al.|PACRGL|PACRGL|1
Kilburn et al.|GGPS1|GGPS1|1
Kilburn et al.|OGDH|OGDH|1
Kilburn et al.|ETFB|ETFB|1
Kilburn et al.|UBL5|UBL5|1
Kilburn et al.|HIST2H2BE|HIST2H2BE|1
Kilburn et al.|ZAN|ZAN|1
Kilburn et al.|GON4L|GON4L|1
Kilburn et al.|HAO1|HAO1|1
Kilburn et al.|EPG5|EPG5|1
Kilburn et al.|NDUFS8|NDUFS8|1
Kilburn et al.|UQCRFS1|UQCRFS1|1
Kilburn et al.|PRDX3|PRDX3|1
Kilburn et al.|PABPC4|PABPC4|1
Kilburn et al.|AIFM3|AIFM3|1
Kilburn et al.|OLA1|OLA1|1
Kilburn et al.|PRKAR1B|PRKAR1B|1
Kilburn et al.|MORC4|MORC4|1
Kilburn et al.|RAB1A|RAB1A|1
Kilburn et al.|H2AFX|H2AFX|1
Kilburn et al.|AK1|AK1|1
Kilburn et al.|HSD17B4|HSD17B4|1
Kilburn et al.|CS|CS|1
Kilburn et al.|ANP32B|ANP32B|1
Kilburn et al.|ACSBG1|ACSBG1|1
Kilburn et al.|KNDC1|KNDC1|1
Kilburn et al.|PSMD2|PSMD2|1
Kilburn et al.|ATP6V1A|ATP6V1A|1
Kilburn et al.|NME2|NME2|1
Kilburn et al.|KAT8|KAT8|1
Kilburn et al.|UBC|UBC|1
Kilburn et al.|TUBB|TUBB|1
Kilburn et al.|FAHD1|FAHD1|1
Kilburn et al.|MED31|MED31|1
Kilburn et al.|USP34|USP34|1
Kilburn et al.|SSB|SSB|1
Kilburn et al.|CETN2|CETN2|1
Kilburn et al.|SASS6|SASS6|1
Kilburn et al.|PHB|PHB|1
Kilburn et al.|AKAP11|AKAP11|1
Kilburn et al.|DYDC2|DYDC2|1
Kilburn et al.|CAPS|CAPS|1
Kilburn et al.|DCP2|DCP2|1
Kilburn et al.|DNAH7|DNAH7|1
Kilburn et al.|CACNA1D|CACNA1D|1
Kilburn et al.|RSPH4A|RSPH4A|1
Kilburn et al.|SPAG17|SPAG17|1
Kilburn et al.|GSTM5|GSTM5|1
Kilburn et al.|HIBCH|HIBCH|1
Kilburn et al.|CD40|CD40|1
Kilburn et al.|PCSK5|PCSK5|1
Kilburn et al.|DLST|DLST|1
Kilburn et al.|MRPS16|MRPS16|1
Kilburn et al.|ETFDH|ETFDH|1
Kilburn et al.|RPS15A|RPS15A|1
Kilburn et al.|ANKRD28|ANKRD28|1
Kilburn et al.|KIF3B|KIF3B|1
Kilburn et al.|CCDC191|CCDC191|1
Kilburn et al.|SHMT2|SHMT2|1
Kilburn et al.|ANK2|ANK2|1
Kilburn et al.|RPS7|RPS7|1
Kilburn et al.|DNAJB13|DNAJB13|1
Kilburn et al.|CHMP6|CHMP6|1
Kilburn et al.|NLRC3|NLRC3|1
Kilburn et al.|IL17RB|IL17RB|1
Kilburn et al.|ENO2|ENO2|1
Kilburn et al.|EPRS|EPRS|1
Kilburn et al.|SQSTM1|SQSTM1|1
Kilburn et al.|SLK|SLK|1
Kilburn et al.|STOML2|STOML2|1
Kilburn et al.|ELAVL3|ELAVL3|1
Kilburn et al.|AMOTL1|AMOTL1|1
Kilburn et al.|GSTT2B|GSTT2B|1
Kilburn et al.|PACRG|PACRG|1
Kilburn et al.|SNX7|SNX7|1
Kilburn et al.|MCCC1|MCCC1|1
Kilburn et al.|UQCRC1|UQCRC1|1
Kilburn et al.|PEX11A|PEX11A|1
Kilburn et al.|MTERF3|MTERF3|1
Kilburn et al.|KIFC3|KIFC3|1
Kilburn et al.|TMPRSS11B|TMPRSS11B|1
Kilburn et al.|FOPNL|FOPNL|1
