Gene_name_A	Gene_name_B	type
LIN9	A0A0G2JS52	Wormbase
RBBP4	A0A0G2JS52	Wormbase
SIN3A	A0A0G2JS52	Wormbase
DBP	A0A1W2PQL4	Wormbase
DMRTC2	A0A1W2PQL4	Wormbase
TBX19	A0A1W2PQL4	Wormbase
CRYAB	A0A3B3ITR4	Wormbase
ST13	A0A3B3ITR4	Wormbase
GRIPAP1	AAR2	Wormbase
RNF20	AAR2	Wormbase
VAC14	AAR2	Wormbase
ABCB6	ABCB6	Wormbase
ABCB9	ABCB9	Wormbase
GCN1	ABCF3	Wormbase
ECHS1	ABHD14B	Wormbase
SH3GL1	ABHD14B	Wormbase
PNPLA2	ABHD4	Wormbase
ABL1	ABI1	Wormbase
MTSS2	ABI1	Wormbase
PAX6	ABI1	Wormbase
PHOX2A	ABI1	Wormbase
RAPH1	ABI1	Wormbase
RMC1	ABI1	Wormbase
SLTM	ABI1	Wormbase
DVL2	ABL1	Wormbase
EPS15L1	ABL1	Wormbase
EPS8	ABL1	Wormbase
LDB3	ABL1	Wormbase
PAX6	ABL1	Wormbase
PNISR	ABL1	Wormbase
PPP2R3B	ABL1	Wormbase
RAD51	ABL1	Wormbase
SEPSECS	ABL1	Wormbase
SMARCC2	ABL1	Wormbase
RACK1	ABLIM2	Wormbase
MYH6	ACADSB	Wormbase
ARF6	ACAP2	Wormbase
LMNB1	ACAP2	Wormbase
RAB10	ACAP2	Wormbase
RAB35	ACAP2	Wormbase
RAB5B	ACAP2	Wormbase
RAB8B	ACAP2	Wormbase
ACHE	ACHE	Wormbase
ACOT13	ACOT13	Wormbase
EEF1G	ACOT13	Wormbase
KLHL8	ACOT13	Wormbase
HYOU1	ACOT2	Wormbase
CPSF7	ACOT4	Wormbase
RAD54L2	ACOT4	Wormbase
RANBP2	ACOT4	Wormbase
SIX5	ACOT4	Wormbase
KCNC1	ACP3	Wormbase
ACTB	ACTB	Wormbase
ACTG1	ACTB	Wormbase
IGFALS	ACTB	Wormbase
TIAM2	ACTB	Wormbase
TPM1	ACTB	Wormbase
ACTN2	ACTN2	Wormbase
DYRK1A	ACTN2	Wormbase
