Human_gene_name,Gene_name,tree
A0A087WUJ7,hex-1,16
A0A087WZ62,C14A4.3,10
A0A087X1B8,mlcd-1,11
A0A0B4J2A0,T25C8.1,9
A0A0C4DFX4,ssl-1,1
A0A0G2JS52,ztf-11,6
A0A0J9YVX5,gopc-1,7
A0A0U1RQV5,eif-6,19
A0A1B0GU03,asp-4,9
A0A1B0GUH1,gcst-1,15
A0A1B0GVI7,ahr-1,9
A0A3B3IT44,cyd-1,17
A0A3B3ITA1,plr-1,15
A0A3B3ITR4,kri-1,20
A0A3B3IU88,Y57G11C.43,9
A1CF,ZK616.1,9
A8MXE2,bre-5,17
AACS,sur-5,14
AADAC,F16F9.4,8
AADACL3,T09B9.1,9
AADACL3,trcs-1,9
AAK1,sel-5,1
AAMP,Y111B2A.12,1
AAR2,F10B5.2,9
AARS1,aars-1,13
AARS1,aars-2,1
AARS2,aars-2,1
AASDH,W09D6.1,11
AASDH,Y66D12A.14,9
AASDHPPT,T04G9.4,12
AASDHPPT,T28H10.1,9
AASS,R02D3.1,18
AATF,Y73E7A.2,17
ABAT,gta-1,2
ABCA1,abt-2,4
ABCA2,abt-6,9
ABCA3,abt-4,20
ABCA3,abt-5,9
ABCA3,ced-7,1
ABCA9,abt-1,5
ABCB1,pgp-1,20
ABCB1,pgp-11,9
ABCB1,pgp-12,9
ABCB1,pgp-13,9
ABCB1,pgp-14,9
ABCB1,pgp-2,4
ABCB1,pgp-3,20
ABCB1,pgp-4,9
ABCB1,pgp-8,9
ABCB1,pgp-9,8
ABCB10,haf-1,9
ABCB10,haf-3,13
ABCB5,pgp-10,18
ABCB5,pgp-5,20
ABCB5,pgp-6,9
ABCB5,pgp-7,9
ABCB6,hmt-1,14
ABCB7,abtm-1,1
ABCB8,haf-6,14
ABCB9,haf-2,10
ABCB9,haf-4,20
ABCB9,haf-7,19
ABCB9,haf-8,9
ABCB9,haf-9,20
ABCC1,mrp-1,1
ABCC1,mrp-2,10
ABCC1,mrp-3,20
ABCC1,mrp-4,20
ABCC11,mrp-5,1
ABCC12,mrp-5,1
ABCC2,cft-1,9
ABCC3,mrp-7,9
ABCC3,mrp-8,9
ABCC4,mrp-6,10
ABCC5,mrp-5,1
ABCD1,pmp-4,5
ABCD2,pmp-4,5
ABCD3,pmp-1,20
ABCD3,pmp-2,20
ABCD4,pmp-3,10
ABCD4,pmp-5,20
ABCE1,abce-1,10
ABCF1,abcf-1,1
ABCF2,abcf-2,1
ABCF3,abcf-3,10
ABCG1,wht-1,20
ABCG1,wht-5,9
ABCG2,wht-2,9
ABCG2,wht-3,9
ABCG2,wht-6,9
ABCG2,wht-7,9
ABCG2,wht-8,9
ABCG4,wht-4,9
ABCG5,abcx-1,9
ABCG8,abch-1,9
ABHD1,abhd-3.2,20
ABHD11,abhd-11.1,9
ABHD11,abhd-11.2,11
ABHD12,abhd-12,13
ABHD12B,abhd-12,13
ABHD14B,abhd-14,6
ABHD16A,F37A4.1,1
ABHD16B,F37A4.1,1
ABHD17A,aho-3,7
ABHD17A,Y71G12A.4,9
ABHD17B,aho-3,7
ABHD17B,F01D5.7,9
ABHD17B,F01D5.8,9
ABHD17C,aho-3,7
ABHD17C,Y41E3.18,9
ABHD18,C54G4.7,14
ABHD3,abhd-3.1,4
ABHD4,abhd-5.1,9
ABHD4,abhd-5.2,19
ABHD4,lid-1,9
ABI1,abi-1,14
ABI2,abi-1,14
ABI3,abi-1,14
ABL1,abl-1,1
ABL1,T25B9.5,9
ABL1,Y52D5A.2,9
ABL1,Y69E1A.3,9
ABL2,abl-1,1
ABLIM1,unc-115,10
ABLIM2,unc-115,10
ABLIM3,unc-115,10
ABRA,F36F2.1,9
ABRA,tag-243,9
ABT1,F57B10.8,14
ACAA2,acaa-2,1
ACACA,pod-2,1
