Gene1ID	Gene1Symbol	Gene2Symbol	Gene1SpeciesName
3392	Prkar1b	PRKAR1B	Rattus norvegicus
97759	Prkar1b	PRKAR1B	Mus musculus
FBgn0259243	Pka-R1	PRKAR1B	Drosophila melanogaster
ZDB-GENE-060929-580	prkar1b	PRKAR1B	Danio rerio
WBGene00002190	kin-2	PRKAR1B	Caenorhabditis elegans
3393	Prkar2a	PRKAR2A	Rattus norvegicus
S000001295	BCY1	PRKAR2A	Saccharomyces cerevisiae
108025	Prkar2a	PRKAR2A	Mus musculus
ZDB-GENE-030131-1007	prkar2aa	PRKAR2A	Danio rerio
FBgn0022382	Pka-R2	PRKAR2A	Drosophila melanogaster
3394	Prkar2b	PRKAR2B	Rattus norvegicus
S000001295	BCY1	PRKAR2B	Saccharomyces cerevisiae
97760	Prkar2b	PRKAR2B	Mus musculus
3395	Prkca	PRKCA	Rattus norvegicus
S000000201	PKC1	PRKCA	Saccharomyces cerevisiae
97595	Prkca	PRKCA	Mus musculus
FBgn0003091	Pkc53E	PRKCA	Drosophila melanogaster
ZDB-GENE-050208-100	prkcaa	PRKCA	Danio rerio
WBGene00004033	pkc-2	PRKCA	Caenorhabditis elegans
3396	Prkcb	PRKCB	Rattus norvegicus
97596	Prkcb	PRKCB	Mus musculus
FBgn0003091	Pkc53E	PRKCB	Drosophila melanogaster
ZDB-GENE-040426-1178	prkcbb	PRKCB	Danio rerio
WBGene00004033	pkc-2	PRKCB	Caenorhabditis elegans
67383	Prkcd	PRKCD	Rattus norvegicus
S000000201	PKC1	PRKCD	Saccharomyces cerevisiae
97598	Prkcd	PRKCD	Mus musculus
ZDB-GENE-111129-1	prkcdb	PRKCD	Danio rerio
ZDB-GENE-030131-6503	prkcda	PRKCD	Danio rerio
WBGene00006599	tpa-1	PRKCD	Caenorhabditis elegans
61925	Prkce	PRKCE	Rattus norvegicus
S000000201	PKC1	PRKCE	Saccharomyces cerevisiae
97599	Prkce	PRKCE	Mus musculus
FBgn0003093	Pkc98E	PRKCE	Drosophila melanogaster
ZDB-GENE-081028-47	prkceb	PRKCE	Danio rerio
ZDB-GENE-030131-8191	prkcea	PRKCE	Danio rerio
WBGene00004032	pkc-1	PRKCE	Caenorhabditis elegans
2152878	A1bg	A1BG	Mus musculus
69417	A1bg	A1BG	Rattus norvegicus
619834	A1cf	A1CF	Rattus norvegicus
1917115	A1cf	A1CF	Mus musculus
ZDB-GENE-060824-3	a1cf	A1CF	Danio rerio
6492449	LOC100911545	A2M	Rattus norvegicus
2449119	A2m	A2M	Mus musculus
ZDB-GENE-070705-476	si:dkey-46g23.2	A2M	Danio rerio
621366	Mug1	A2ML1	Rattus norvegicus
